LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ADT36104-2L;5703-04-6013573P;L lišta zadních dveří;828774987R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT36-RL;3
ST-ADT36104-2R;5703-04-6013574P;P lišta zadních dveří;828770526R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT36-RR;3
ST-ADT36104-3L;5703-04-6013577P;L lišta zadních dveří;828D14808R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT3-1-RL;3
ST-ADT36104-3R;5703-04-6013578P;P lišta zadních dveří;828D01474R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT3-1-RR;3
ST-ADT36104-L;5703-04-6013571P;L lišta předních dveří;808771248R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT36-FL;3
ST-ADT36104-R;5703-04-6013572P;P lišta předních dveří;801867926R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT36-FR;3
ST-ADT36770-3L;5703-04-6063587PP;L lišta zadních dveří;828215185R;FIAT | TALENTO bus (296_) [06\16-] | 1.6 D (1598ccm\107kW\145HP) [06\16-];5418;100.17827;130
ST-ADT36770-3R;5703-04-6063588PP;P lišta zadních dveří;828208191R;FIAT | TALENTO bus (296_) [06\16-] | 1.6 D (1598ccm\107kW\145HP) [06\16-];5535;100.17828;133
ST-ADT36770-4L;5703-04-6063585P;L lišta předních dveří;6000617426;OPEL | VIVARO B bus (X82) [06\14-12\19] | 1.6 CDTI (06) (1598ccm\103kW\140HP) [06\14-12\16];3937;100.17835;79
ST-ADT36770-4R;5703-04-6063586P;P lišta předních dveří;4407228;FIAT | TALENTO bus (296_) [06\16-] | 1.6 D (1598ccm\107kW\145HP) [06\16-];5645;100.17836;135
ST-ADT36940-1L;5703-06-6092571P;L lišta zadních dveří;4419384;NISSAN | INTERSTAR Dodávka (X62B) [11\21-] | dCi 110 (2298ccm\81kW\110HP) [11\21-];5547;100.17886;133
ST-ADT36940-1R;5703-06-6092572P;P lišta zadních dveří;4419385;NISSAN | INTERSTAR Dodávka (X62B) [11\21-] | dCi 110 (2298ccm\81kW\110HP) [11\21-];5547;100.17887;133
ST-ADT36940-L;5703-06-6089577P;L lišta předních dveří;4919539;NISSAN | INTERSTAR Dodávka (X62B) [11\21-] | dCi 110 (2298ccm\81kW\110HP) [11\21-];7062;100.17852;169
ST-ADT36940-R;5703-06-6089578P;P lišta předních dveří;4419538;NISSAN | INTERSTAR Dodávka (X62B) [11\21-] | dCi 110 (2298ccm\81kW\110HP) [11\21-];7062;100.17853;169
ST-ADT42730-1L;5703-06-9564571P;L boční lišta;2E0853515A;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20457;100.13857;286
ST-ADT42730-2L;5703-04-3547587P;L boční lišta;2E1853517;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20606;100.13861;288
ST-ADT42730-2R;5703-04-3547588P;P boční lišta;2E1853518A;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20606;100.13862;288
